Title,User Rating,Genres,Cast,Links
Blue Beetle,69,"['Comedy', 'Fantasy', 'Family']","['Eddie Murphy', 'Tracee Ellis Ross', 'Jillian Bell', 'Genneya Walton', 'Thaddeus J. Mixson', 'Madison Thomas', 'Nick Offerman', 'Chris Redd', 'Robin Thede']",http://themoviedb.org/movie/565770
The Dark Kingdom,52,"['Action', 'Drama', 'Romance']","['Jean-Claude Van Damme', 'Pat Morita', 'Danny Trejo', 'Gabrielle Fitzpatrick', 'Larry Drake', 'Vincent Schiavelli', ""David 'Shark' Fralick"", 'Silas Weir Mitchell', 'Jonathan Avildsen']",http://themoviedb.org/movie/566810
Spider-Man: Across the Spider-Verse,84,"['Drama', 'Science Fiction', 'Action', 'Horror']","['Ryunosuke Kamiki', 'Hidetaka Yoshioka', 'Minami Hamabe', 'Kuranosuke Sasaki', 'Yuki Yamada', 'Saki Nakatani', 'Munetaka Aoki', 'Sakura Ando', 'Mio Tanaka']",http://themoviedb.org/movie/569094
Avatar: The Way of Water,77,"['Action', 'Adventure', 'Science Fiction']","['Karim Mahmoud Abdel Aziz', 'Eyad Nassar', 'Asmaa Abu ElYazeed', 'Sabry Fawaz', 'Mohamed Lotfi', 'Mahmoud Hafez', 'Sara Elshamy', 'Ahmed Hatem', 'Ahmed ElAwadi']",http://themoviedb.org/movie/76600
Godzilla vs. Kong,77,"['Comedy', 'Fantasy', 'Family']","['Jennifer Garner', 'Ed Helms', 'Emma Myers', 'Brady Noon', 'Rita Moreno', 'Matthias Schweighöfer', 'Vanessa Carrasco', 'Cyrus Arnold', 'Ilia Isorelýs Paulino']",http://themoviedb.org/movie/399566
Jawan,73,"['Crime', 'Drama', 'History']","['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Tantoo Cardinal', 'John Lithgow', 'Brendan Fraser', 'Cara Jade Myers', 'JaNae Collins']",http://themoviedb.org/movie/872906
Gran Turismo,80,['Science Fiction'],"['Corey Taylor', 'Destiny Salas', 'Lindsey Cruz', 'Steve Delgado', 'Julie Garcia-Briceno', 'Jackie Gerhardy', 'Mark Justice', 'Gotham McFadden', 'Destiny Faith Nelson']",http://themoviedb.org/movie/980489
Krampus,62,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']",http://themoviedb.org/movie/287903
Elemental,77,"['Animation', 'Comedy', 'Family']","['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander', 'Rob Schneider', 'Allison Strong', 'Jo Koy', 'Sadie Sandler', 'Sunny Sandler']",http://themoviedb.org/movie/976573
May December,66,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro']",http://themoviedb.org/movie/839369
Indiana Jones and the Dial of Destiny,67,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']",http://themoviedb.org/movie/335977
Saw X,74,[],[],http://themoviedb.org/movie/951491
Dragon Ball: Mystical Adventure,68,"['Animation', 'Comedy', 'Family']","['Michael Godere', 'Ezekiel Ajeigbe', 'Raul Ceballos', 'Chris Diamantopoulos', 'Mallory Low', 'Zehra Fazal', 'Keith Silverstein', 'Kari Wahlgren']",http://themoviedb.org/movie/116776
How the Grinch Stole Christmas,68,"['Horror', 'Mystery']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']",http://themoviedb.org/movie/8871
Casper's Haunted Christmas,53,"['Science Fiction', 'Action', 'Thriller']","['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']",http://themoviedb.org/movie/5833
